Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Bats
Clyde Nelson,24,3B,1.1,19,78,72,8,26,5,0,2,11,0,6,0.361,0.41,0.514,0.924,171.0,0.439,160.0,37,0,0,Right
Ed Young,33,1B,-0.2,18,75,69,11,14,2,0,1,7,2,4,0.203,0.247,0.275,0.522,53.0,0.257,54.0,19,0,2,Right
Jim McCurine*,25,RF,0.1,17,66,59,8,16,2,1,0,7,0,3,0.271,0.306,0.339,0.645,90.0,0.313,87.0,20,0,4,Left
Bernell Longest*,27,2B,0.1,17,72,62,9,15,2,0,0,5,2,9,0.242,0.347,0.274,0.621,83.0,0.32,93.0,17,1,0,Left
Ralph Wyatt,28,SS,0.1,9,39,38,4,11,1,1,0,4,0,1,0.289,0.308,0.368,0.676,99.0,0.323,94.0,14,0,0,Right
Clyde McNeal,17,SS,0.0,16,49,47,2,11,1,1,0,4,0,2,0.234,0.265,0.298,0.563,66.0,0.273,66.0,14,0,0,Right
John Miles,23,OF,-0.2,13,48,47,3,12,1,0,0,4,1,1,0.255,0.271,0.277,0.547,61.0,0.266,62.0,13,0,0,Right
John Bissant,32,LF,-0.1,11,49,43,2,10,2,0,0,3,1,3,0.233,0.283,0.279,0.562,65.0,0.278,67.0,12,0,3,Right
Babe Charter,35,C,-0.5,11,38,34,4,4,0,0,0,2,0,3,0.118,0.211,0.118,0.328,-3.0,0.184,15.0,4,1,0,Right
Walter Thomas,34,CF,0.2,16,56,52,6,14,2,0,0,2,0,4,0.269,0.321,0.308,0.629,85.0,0.312,88.0,16,0,0,Right
Herb Barnhill,32,C,-0.1,7,25,25,1,5,0,0,0,2,0,0,0.2,0.2,0.2,0.4,18.0,0.195,21.0,5,0,0,Right
Frank Williams*,27,OF,0.1,2,8,7,0,3,0,1,0,2,0,0,0.429,0.429,0.714,1.143,235.0,0.523,223.0,5,0,1,Left
Wilbert King,31,2B,0.1,2,9,8,2,2,0,0,0,1,0,1,0.25,0.333,0.25,0.583,72.0,0.302,82.0,2,0,0,Right
Harry Rhodes*,23,UT,0.0,8,20,18,1,5,1,0,0,1,0,2,0.278,0.35,0.333,0.683,101.0,0.34,103.0,6,0,0,Left
Red Howard*,36,P,0.1,7,9,6,2,1,0,1,0,1,0,1,0.167,0.375,0.5,0.875,157.0,0.411,149.0,3,1,1,Left
Riley Stewart*,27,P,0.0,2,4,4,0,1,0,0,0,1,0,0,0.25,0.25,0.25,0.5,47.0,0.243,48.0,1,0,0,Left
Walter McCoy,26,P,-0.2,6,20,20,0,1,1,0,0,1,0,0,0.05,0.05,0.1,0.15,-56.0,0.068,-51.0,2,0,0,Right
Jake Tolbert,,C,-0.2,3,10,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-90.0,0,0,0,Right
Grover Hunt,,C,-0.1,1,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-89.0,0,0,0,Right
Sam Hill*,20,UT,-0.2,3,9,8,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-113.0,0,0,1,Left
Leslie Green*,32,OF,0.1,4,13,8,5,2,0,0,0,0,1,4,0.25,0.5,0.25,0.75,122.0,0.428,152.0,2,0,1,Left
Johnny Hundley,31,C,0.0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Right
Willie Cornelius,39,P,0.2,4,10,8,0,3,0,0,0,0,0,2,0.375,0.5,0.375,0.875,158.0,0.446,164.0,3,0,0,Right
Gentry Jessup,31,P,-0.2,8,23,23,1,3,0,0,0,0,0,0,0.13,0.13,0.13,0.261,-23.0,0.127,-18.0,3,0,0,Right
Clarence Locke,35,P,0.0,2,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-93.0,0,0,0,Right
Chet Brewer#,39,P,0.0,2,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-292.0,0,0,1,Both
