Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Cando López,22,CF,0.1,47,199,186,20,55,6,3,1,25,3,12,0.296,0.342,0.376,0.718,96.0,0.332,96.0,70,1
Francisco Correa,23,SS,0.2,46,188,179,13,51,11,2,0,22,1,9,0.285,0.319,0.369,0.688,87.0,0.317,86.0,66,0
Aurelio Cortés,24,C,0.1,34,129,117,16,28,2,1,1,18,2,11,0.239,0.31,0.299,0.609,67.0,0.29,70.0,35,1
Felipe Sierra,26,1B,-0.2,47,191,172,27,44,8,0,0,13,1,17,0.256,0.33,0.302,0.632,74.0,0.303,78.0,52,2
Bienvenido Jiménez,38,2B,0.7,47,214,178,34,50,7,3,0,13,4,26,0.281,0.402,0.354,0.756,108.0,0.364,116.0,63,10
Rogelio Alonso,22,LF,-0.6,42,143,135,10,26,7,0,0,11,2,6,0.193,0.238,0.244,0.482,32.0,0.229,31.0,33,2
Luis Entenza,24,UT,-0.3,43,138,122,16,26,4,1,0,10,1,16,0.213,0.304,0.262,0.567,56.0,0.276,61.0,32,0
Esteban Montalvo*,32,RF,-1.7,47,187,169,11,23,3,3,0,9,2,16,0.136,0.219,0.189,0.409,12.0,0.202,15.0,32,2
Ramón Martínez,25,3B,-0.9,31,108,104,7,17,0,0,0,7,0,4,0.163,0.194,0.163,0.358,-1.0,0.174,-4.0,17,0
Basilio Rosell,26,P,0.3,18,54,52,3,14,3,0,0,4,1,2,0.269,0.296,0.327,0.623,70.0,0.289,69.0,17,0
Heliodoro Díaz,23,P,0.0,20,59,56,1,11,0,0,0,3,0,3,0.196,0.237,0.196,0.434,20.0,0.211,20.0,11,0
Conrado Rodríguez,21,UT,-0.5,15,37,33,4,5,0,0,0,2,0,4,0.152,0.243,0.152,0.395,10.0,0.206,16.0,5,0
Cocaína García*,22,P,-0.3,16,41,41,5,8,0,0,0,2,0,0,0.195,0.195,0.195,0.39,7.0,0.182,1.0,8,0
Pablo Martínez,30,P,-0.1,6,13,11,2,0,0,0,0,0,0,2,0.0,0.154,0.0,0.154,-55.0,0.114,-42.0,0,0
