Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH
Willard Brown,33,CF,2.6,46,197,174,43,71,23,2,7,54,8,22,0.408,0.477,0.684,1.161,208,0.517,193,119,1,0
Hank Thompson*,22,RF,2.1,47,206,175,50,59,13,5,5,29,12,27,0.337,0.431,0.554,0.986,162,0.453,155,97,2,2
Gene Baker,23,SS,0.3,46,200,181,39,45,9,7,3,28,5,15,0.249,0.306,0.425,0.732,94,0.333,88,77,0,4
Earl Taborn,25,C,0.9,44,170,147,15,44,10,0,0,23,2,21,0.299,0.387,0.367,0.754,103,0.365,108,54,0,2
Johnie Scott*,34,OF,0.7,33,129,110,24,33,6,1,1,23,7,16,0.3,0.398,0.4,0.798,114,0.389,118,44,2,1
Herb Souell#,35,3B,0.8,46,211,196,41,56,8,6,2,22,6,14,0.286,0.336,0.418,0.755,101,0.349,98,82,1,0
Curt Roberts,18,2B,-0.2,46,196,180,25,44,10,1,0,20,5,14,0.244,0.299,0.311,0.61,63,0.293,66,56,0,2
Tom Cooper,,1B,0.5,31,128,107,17,31,2,3,1,13,2,16,0.29,0.387,0.393,0.78,109,0.372,113,42,1,4
Elston Howard,19,LF,0.0,20,84,80,16,20,5,3,1,13,1,3,0.25,0.286,0.425,0.711,88,0.319,81,34,1,0
Buck O'Neil,36,1B,-0.5,25,96,89,8,19,1,0,0,11,2,7,0.213,0.271,0.225,0.496,34,0.247,41,20,0,0
Jim LaMarque*,27,P,0.7,18,55,45,9,15,3,0,1,11,0,7,0.333,0.434,0.467,0.901,141,0.426,143,21,1,2
Hilton Smith,41,P,0.3,13,30,28,6,9,2,1,0,5,0,1,0.321,0.345,0.464,0.809,115,0.369,110,13,0,1
Ford Smith#,29,P,-0.1,13,27,26,4,5,3,0,0,3,0,0,0.192,0.222,0.308,0.53,41,0.245,38,8,1,0
Connie Johnson,25,P,-0.1,12,18,18,3,3,1,0,0,1,1,0,0.167,0.167,0.222,0.389,3,0.182,1,4,0,0
Gene Collins*,23,P,0.3,12,23,20,4,6,3,0,0,1,0,2,0.3,0.391,0.45,0.841,125,0.397,125,9,1,0
Charley Hall#,24,OF,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-100,0,0,0
Gene Richardson*,20,P,-0.2,8,19,18,2,1,1,0,0,0,0,1,0.056,0.105,0.111,0.216,-42,0.109,-38,2,0,0
Leonard Johnson,28,P,-0.1,3,8,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-101,0,0,0
Tincy Jamerson,17,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0
