Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Wilson Redus,23,LF,3.4,78,341,315,72,110,21,6,22,82,6,17,0.349,0.399,0.663,1.062,185,0.465,179,209,9
Willie Wells,23,SS,6.1,78,345,315,82,113,28,5,22,81,13,25,0.359,0.414,0.689,1.103,196,0.486,190,217,5
Mule Suttles,27,1B,4.6,76,324,301,73,108,17,12,21,75,6,22,0.359,0.404,0.704,1.109,197,0.482,190,212,1
Dewey Creacy,28,3B,2.1,78,326,298,41,98,23,5,10,54,1,24,0.329,0.387,0.54,0.927,150,0.416,148,161,4
Branch Russell*,32,RF,1.0,78,341,308,62,92,14,12,3,43,4,30,0.299,0.367,0.451,0.818,122,0.372,121,139,3
Cool Papa Bell#,25,CF,3.1,79,371,338,81,112,21,6,6,41,19,32,0.331,0.391,0.482,0.873,137,0.404,137,163,1
John Henry Russell,30,2B,2.3,79,305,292,38,80,10,5,2,36,1,12,0.274,0.305,0.363,0.668,82,0.307,80,106,1
Henry Williams,33,C,0.6,59,206,204,29,63,9,1,4,35,0,2,0.309,0.316,0.422,0.737,100,0.334,96,86,0
Clarence Palm,20,C,1.1,41,116,109,19,35,4,1,7,21,0,7,0.321,0.362,0.569,0.931,151,0.414,146,62,0
Willie Bobo*,30,1B,0.5,12,25,22,6,12,2,0,0,7,2,3,0.545,0.6,0.636,1.236,238,0.573,242,14,0
Ted Trent,24,P,0.3,26,76,70,9,14,2,1,1,5,1,6,0.2,0.263,0.3,0.563,53,0.263,53,21,0
John Williams,23,P,0.2,30,59,57,12,15,1,2,0,5,0,1,0.263,0.288,0.351,0.639,74,0.293,71,20,1
Roosevelt Davis,23,P,0.5,24,36,34,4,10,1,0,2,4,0,2,0.294,0.333,0.5,0.833,125,0.374,121,17,0
Candy Jim Taylor,44,3B,-0.1,19,22,22,1,7,0,0,0,3,0,0,0.318,0.318,0.318,0.636,74,0.297,73,7,0
Logan Hensley,28,P,0.1,24,50,50,8,11,2,0,1,3,0,0,0.22,0.22,0.32,0.54,46,0.243,39,16,0
Luther McDonald,22,P,0.1,22,44,43,7,9,1,1,0,1,0,1,0.209,0.227,0.279,0.506,38,0.232,33,12,0
Turner,20,P,0.0,2,2,2,1,1,0,0,0,1,0,0,0.5,0.5,0.5,1.0,174,0.466,177,1,0
John Reese,33,3B,0.0,1,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-110,0,0
Mitchell Murray,32,C,-0.1,5,10,9,0,0,0,0,0,0,0,1,0.0,0.1,0.0,0.1,-71,0.074,-66,0,0
Richard Cannon,18,P,-0.1,11,20,19,2,2,0,0,0,0,0,1,0.105,0.15,0.105,0.255,-29,0.13,-32,2,0
Hastings,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0
