Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,SH
Neil Robinson,34,CF,1.2,23,92,85,20,30,8,1,4,20,2,5,0.353,0.389,0.612,1.001,206.0,0.458,188.0,52,2
Marlin Carter*,29,3B,0.5,23,99,92,15,27,3,3,0,14,2,6,0.293,0.337,0.391,0.728,124.0,0.342,119.0,36,1
T.J. Brown,26,SS,0.6,21,89,82,14,24,2,3,0,11,3,4,0.293,0.326,0.39,0.716,120.0,0.338,115.0,32,3
Jelly Taylor*,31,1B,0.1,24,100,91,10,23,3,1,0,10,2,7,0.253,0.306,0.308,0.614,89.0,0.296,91.0,28,2
Cowan Hyde,35,RF,0.3,24,106,104,20,32,4,1,0,9,8,0,0.308,0.308,0.365,0.673,107.0,0.325,103.0,38,2
Larry Brown#,40,C,0.2,20,71,61,3,15,3,0,0,8,0,6,0.246,0.313,0.295,0.609,88.0,0.298,92.0,18,4
Fred Bankhead,29,2B,0.3,20,84,75,15,19,3,0,0,6,6,8,0.253,0.325,0.293,0.619,91.0,0.313,96.0,22,1
Fred McDaniel*,29,LF,-0.1,20,85,74,14,15,0,2,0,6,0,10,0.203,0.298,0.257,0.554,71.0,0.277,79.0,19,1
Nat Rogers*,48,,0.2,5,15,15,2,7,2,0,0,5,0,0,0.467,0.467,0.6,1.067,227.0,0.498,209.0,9,0
Verdell Mathis*,28,P,0.5,13,28,26,5,12,0,0,0,5,1,2,0.462,0.5,0.462,0.962,197.0,0.458,188.0,12,0
Porter Moss,32,P,0.2,8,24,22,3,6,1,0,0,2,0,1,0.273,0.304,0.318,0.623,92.0,0.298,92.0,7,1
Felix Evans,31,P,0.1,4,12,12,1,2,0,0,1,2,0,0,0.167,0.167,0.417,0.583,77.0,0.262,71.0,5,0
Willie Hutchinson,27,P,0.0,12,21,21,2,4,0,0,0,2,0,0,0.19,0.19,0.19,0.381,17.0,0.181,24.0,4,0
Bob Smith,35,C,-0.1,5,16,14,1,2,0,0,0,1,0,2,0.143,0.25,0.143,0.393,22.0,0.212,42.0,2,0
Bill Bradford*,28,,-0.2,4,15,14,1,2,0,0,0,0,0,0,0.143,0.143,0.143,0.286,-12.0,0.136,-11.0,2,1
Adams,,C,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Sam Segraves,22,2B,-0.1,1,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-82.0,0,0
Rufus Hatten,21,C,0.0,1,4,3,1,0,0,0,0,0,0,1,0.0,0.25,0.0,0.25,-20.0,0.186,27.0,0,0
Gerves Fagan,26,2B,-0.1,3,11,10,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.4,23.0,0.191,22.0,2,1
Robert Keyes*,,P,0.0,2,5,4,0,0,0,0,0,0,0,1,0.0,0.2,0.0,0.2,-36.0,0.149,5.0,0,0
Ted Radcliffe,39,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-84.0,0,0
Joe Brooks,,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-77.0,0,0
Norris Phillips*,26,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-77.0,0,0
