Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos.1,Awards
1,Joe Greene,29,C,0.9,30,106,94,14,26,4,6,0,22,0,11,.277,.352,.447,.799,140,.372,132,42,1,0,1,1,2,
2,Buck O'Neil,29,1B,-0.3,37,161,149,20,32,3,3,0,11,5,7,.215,.250,.275,.525,58,.256,56,41,0,0,5,0,*3,
3,Rainey Bibbs#,30,2B,-0.1,38,161,145,16,33,5,0,0,17,2,9,.228,.282,.262,.544,64,.267,66,38,0,2,5,0,*4,
4,Bill Williams,28,SS,0.9,36,137,119,19,30,4,3,0,18,2,13,.252,.341,.336,.677,104,.329,106,40,0,3,2,0,*6/5,
5,Newt Allen,40,3B,0.5,35,148,131,24,33,5,1,0,10,4,13,.252,.319,.305,.625,88,.306,90,40,0,0,4,0,5/697,AS
6,Willie Simms*,32,LF,-0.7,37,158,136,21,25,2,2,0,12,8,20,.184,.293,.228,.521,57,.274,66,31,0,1,1,0,*78,
7,Willard Brown,26,CF,1.9,38,161,144,31,49,7,4,6,32,10,16,.340,.410,.569,.979,193,.462,183,82,0,1,0,1,*87,
8,Ted Strong#,24,RF,2.5,35,151,112,29,39,5,3,6,27,2,27,.348,.507,.607,1.114,234,.513,224,68,0,9,3,1,9/53,AS
9,Frank Duncan,40,C,0.3,13,41,36,3,9,0,1,0,4,1,4,.250,.325,.306,.631,90,.308,92,11,0,0,1,0,2/9,
10,Sylvester Snead,26,OF,0.3,9,35,29,2,6,3,1,0,2,1,4,.207,.324,.379,.703,111,.342,111,11,0,1,1,0,/9,
11,Tom Young*,38,C,-0.2,5,17,13,1,1,0,0,0,2,0,2,.077,.250,.077,.327,0,.201,20,1,0,1,1,0,/2,
12,Herb Souell#,28,3B,0.0,3,8,8,2,2,1,0,0,2,0,0,.250,.250,.375,.625,87,.291,81,3,0,0,0,0,/5,
13,Frank Duncan,21,1B,-0.1,1,4,3,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-100,.000,-166,0,0,0,1,0,/3,
14,Hilton Smith,34,P,0.6,15,39,36,6,12,5,0,0,8,0,3,.333,.385,.472,.857,157,.404,152,17,0,0,0,0,1/7,AS
15,Satchel Paige,34,P,0.2,12,29,27,2,6,0,0,0,3,0,1,.222,.276,.222,.498,50,.250,55,6,0,1,0,0,1,AS
16,Frank Bradley,23,P,-0.1,11,22,21,3,3,0,0,0,0,0,0,.143,.143,.143,.286,-14,.137,-20,3,0,0,1,0,1/7,
17,Ford Smith#,22,P,0.2,7,13,13,1,5,2,0,0,3,0,0,.385,.385,.538,.923,177,.431,169,7,0,0,0,0,/179,
18,Allen Bryant*,23,P,-0.2,5,12,11,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-118,0,0,0,1,0,/1,
19,George Walker,26,P,0.0,6,12,11,0,1,0,0,0,0,0,1,.091,.167,.091,.258,-22,.141,-12,1,0,0,0,0,/1,
20,Connie Johnson,18,P,0.0,7,7,7,1,1,0,0,0,0,0,0,.143,.143,.143,.286,-14,.137,-16,1,0,0,0,0,/1,
21,Booker McDaniel,27,P,0.0,3,6,5,1,0,0,0,0,0,0,1,.000,.167,.000,.167,-49,.124,-23,0,0,0,0,0,/1,
22,Chet Brewer#,34,P,-0.1,2,5,5,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-100,0,0,0,0,0,/1,
23,Clarence Brown,,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-92,0,0,0,0,0,/1,
