Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB
Charley Williams,28,SS,0.7,76,309,286,35,69,15,4,4,42,13,23,0.241,0.298,0.364,0.661,77,0.306,76,104
John Henry Russell,27,3B,0.4,75,306,289,37,81,10,4,0,38,2,17,0.28,0.32,0.343,0.663,78,0.306,79,99
Bob Miller,,2B,0.6,74,293,272,30,74,12,3,2,35,3,21,0.272,0.324,0.36,0.685,84,0.315,85,98
Charles Wesley,28,RF,-0.2,61,230,218,30,57,8,4,1,29,9,12,0.261,0.3,0.349,0.649,74,0.301,74,76
Marion Cunningham,29,1B,-1.1,71,258,248,27,49,9,10,3,23,1,10,0.198,0.229,0.351,0.579,53,0.255,49,87
Pythias Russ,21,C,0.6,39,134,127,23,40,3,2,2,22,3,7,0.315,0.351,0.417,0.768,106,0.348,105,53
Sanford Jackson,25,CF,0.8,58,248,216,45,61,6,2,0,21,14,32,0.282,0.375,0.329,0.704,91,0.344,98,71
Kid Lowe,24,LF,-0.4,50,185,173,22,44,4,2,0,20,5,12,0.254,0.303,0.301,0.603,63,0.283,65,52
Pinky Ward,,,0.6,45,160,142,26,41,10,2,1,19,7,18,0.289,0.369,0.408,0.777,109,0.362,110,58
Larry Brown#,23,C,-0.3,52,166,151,14,30,7,3,0,15,0,15,0.199,0.271,0.285,0.556,50,0.262,52,43
Carl Glass*,27,P,0.0,46,113,105,13,25,4,1,0,13,1,8,0.238,0.292,0.295,0.587,58,0.275,61,31
John Kemp,,SS,-0.4,30,90,85,11,19,3,0,1,10,1,5,0.224,0.267,0.294,0.561,51,0.259,52,25
Willie Spearman,25,P,0.3,33,83,79,5,18,3,0,2,9,0,4,0.228,0.265,0.342,0.607,62,0.276,60,27
Square Moore,24,P,0.3,29,49,45,3,11,0,0,1,5,2,4,0.244,0.306,0.311,0.617,66,0.293,70,14
Bill Gatewood,43,P,0.3,14,17,13,4,3,0,0,2,2,0,4,0.231,0.412,0.692,1.104,191,0.465,173,9
Dizzy Dismukes,35,P,-0.1,11,17,16,1,2,0,0,0,1,0,1,0.125,0.176,0.125,0.301,-18,0.153,-13,2
Eppie Hamilton,25,C,0.0,9,16,15,2,4,1,0,0,1,0,1,0.267,0.313,0.333,0.646,74,0.301,76,5
Steel Arm Tyler,19,P,-0.3,33,56,53,3,7,0,0,0,0,0,3,0.132,0.179,0.132,0.311,-15,0.156,-11,7
Hulon Stamps,26,P,-0.1,5,6,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-106,0
